200 3 80
1000 1000 1000 
0 620 1210 A 965 645 379 
1 499 1278 A 732 592 949 
2 1331 1428 A 676 276 489 
3 558 1402 A 958 833 400 
4 960 1240 A 705 717 201 
5 183 818 A 235 917 404 
6 40 535 A 354 831 48 
7 728 965 A 378 863 92 
8 1333 1344 A 26 442 758 
9 639 1006 A 955 53 438 
10 459 1186 A 658 38 939 
11 960 1382 A 286 124 27 
12 967 1364 A 101 875 95 
13 975 999 A 611 642 176 
14 1248 1394 A 242 385 299 
15 1294 1375 A 902 998 355 
16 645 1361 A 734 534 152 
17 813 988 A 836 669 13 
18 264 584 A 558 40 836 
19 1242 1267 A 244 945 304 
20 521 1023 A 843 385 727 
21 1295 1352 A 71 223 745 
22 928 1096 A 238 15 475 
23 145 304 A 235 340 279 
24 230 1055 A 558 765 282 
25 1058 1417 A 718 324 447 
26 262 1127 A 598 100 937 
27 837 859 A 279 241 207 
28 572 1202 A 532 649 465 
29 1431 1433 A 631 260 843 
30 1242 1405 A 224 733 582 
31 557 955 A 561 255 94 
32 650 850 A 606 715 472 
33 969 1235 A 195 375 978 
34 254 755 A 240 645 996 
35 669 889 A 23 870 121 
36 1088 1209 A 747 66 885 
37 587 698 A 630 332 926 
38 412 509 A 355 693 202 
39 319 493 A 241 254 915 
40 304 367 A 575 983 378 
41 1166 1281 A 440 214 582 
42 3 230 A 908 512 673 
43 1040 1136 A 638 148 159 
44 673 676 A 133 362 704 
45 334 1223 A 673 187 667 
46 1133 1312 A 701 519 581 
47 374 397 A 510 673 994 
48 1407 1436 A 876 122 64 
49 860 1043 A 985 218 870 
50 159 1197 A 894 84 883 
51 189 516 A 889 424 320 
52 978 1001 A 625 725 175 
53 135 428 A 30 312 773 
54 205 497 A 118 627 956 
55 1265 1400 A 509 476 71 
56 1321 1430 A 656 815 733 
57 549 1061 A 288 711 374 
58 441 579 A 722 475 571 
59 246 1376 A 830 3 249 
60 1010 1040 A 911 990 249 
61 446 1428 A 463 44 291 
62 408 732 A 278 419 313 
63 516 1207 A 855 107 836 
64 1353 1356 A 234 978 221 
65 856 938 A 381 539 420 
66 1394 1433 A 111 232 889 
67 896 913 A 101 471 572 
68 746 855 A 204 587 865 
69 1054 1292 A 950 905 371 
70 1348 1372 A 825 363 394 
71 1300 1320 A 595 646 681 
72 5 388 A 57 979 862 
73 1066 1422 A 996 677 185 
74 803 949 A 612 704 841 
75 463 791 A 345 457 324 
76 77 656 A 893 971 473 
77 594 1389 A 184 235 430 
78 1406 1408 A 710 210 672 
79 728 1162 A 823 950 995 
80 652 1149 B 783 930 42 
81 399 1170 B 611 599 934 
82 352 619 B 317 835 471 
83 1069 1125 B 38 853 941 
84 1174 1322 B 607 184 392 
85 393 1271 B 444 1 960 
86 80 143 B 739 521 349 
87 952 1220 B 998 766 807 
88 792 1241 B 225 537 34 
89 927 1046 B 27 467 513 
90 663 1039 B 526 458 611 
91 465 929 B 971 85 454 
92 588 743 B 621 486 644 
93 1396 1431 B 458 229 414 
94 478 518 B 299 112 628 
95 1392 1424 B 1000 835 462 
96 172 1160 B 188 47 444 
97 1268 1377 B 156 585 95 
98 273 1236 B 541 609 749 
99 457 1035 B 590 442 815 
100 1025 1091 B 649 860 808 
101 100 640 B 110 23 895 
102 996 1301 B 520 814 677 
103 203 972 B 151 788 521 
104 247 1372 B 185 137 78 
105 1224 1293 B 739 671 98 
106 271 701 B 260 276 320 
107 851 1372 B 348 1000 285 
108 270 792 B 369 592 359 
109 750 880 B 204 742 310 
110 601 664 B 712 415 142 
111 777 1235 B 606 474 691 
