100 3
1000 1000 1000
0 23 24 542 586 534
1 6 20 742 430 651
2 16 22 47 779 383
3 19 20 581 766 157
4 10 24 863 363 429
5 1 11 356 881 458
6 3 4 196 521 627
7 10 14 494 473 213
8 10 20 906 545 476
9 9 15 823 574 266
10 13 24 411 844 883
11 8 14 792 548 526
12 18 22 567 799 48
13 18 20 479 392 354
14 20 23 51 951 435
15 0 17 935 351 167
16 1 13 687 964 528
17 11 18 822 363 704
18 20 23 879 267 117
19 23 24 998 110 910
20 1 7 800 404 458
21 4 9 50 875 988
22 1 8 320 257 745
23 9 23 902 23 543
24 22 24 213 838 343
25 2 20 860 681 228
26 18 21 735 923 142
27 17 24 779 595 386
28 7 15 167 439 774
29 1 10 602 167 15
30 17 18 91 711 963
31 2 10 433 646 426
32 13 14 164 100 692
33 11 22 203 86 888
34 21 22 405 461 644
35 3 22 637 133 245
36 4 16 370 743 694
37 6 14 439 471 176
38 18 23 297 30 936
39 21 22 229 544 127
40 21 23 332 875 298
41 1 24 24 966 188
42 5 7 171 992 714
43 17 24 243 304 853
44 11 18 689 68 905
45 17 18 594 854 953
46 2 4 791 406 550
47 9 22 605 466 405
48 1 11 24 964 431
49 18 20 813 333 837
50 2 8 360 355 525
51 17 24 935 211 538
52 8 22 214 679 44
53 4 6 483 369 939
54 9 19 378 265 830
55 10 20 11 975 40
56 17 22 497 913 701
57 7 11 34 310 93
58 12 15 731 786 230
59 7 24 703 610 272
60 18 20 787 20 116
61 9 24 471 333 510
62 8 23 856 9 447
63 5 12 977 591 694
64 22 23 245 153 302
65 3 4 205 178 243
66 14 17 94 969 544
67 11 17 79 682 271
68 13 15 157 797 556
69 20 23 940 933 650
70 19 21 166 880 861
71 12 24 494 378 237
72 1 7 409 831 529
73 1 17 467 384 725
74 19 22 271 600 826
75 19 20 533 120 490
76 23 24 198 349 339
77 20 22 46 906 899
78 19 23 107 396 474
79 4 6 517 456 438
80 18 24 115 217 499
81 14 22 56 475 517
82 11 17 624 97 711
83 3 7 232 361 415
84 20 21 410 591 392
85 13 22 93 754 36
86 19 20 935 999 917
87 18 22 314 843 120
88 23 24 130 807 191
89 9 12 701 73 483
90 20 22 831 879 149
91 15 20 729 669 870
92 21 22 570 52 903
93 7 8 196 154 33
94 12 22 127 798 145
95 15 17 267 372 65
96 7 19 622 934 71
97 11 15 187 500 531
98 1 21 435 331 669
99 11 20 860 887 677
